Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
11.Jul 2018|16.341|13.258|5.773|16.819|22.255|3.311|3.479|25.930|29.306|2.815|3.506|7.988|1.536|6.081|32.132|20.678|19.869|1.966|1.160|5.472|2.746|15.015|41.235|6.001|5.564|35.650|2.523|16.242|66.421|4.627|22.099|31.134|1.639
12.Jul 2018|16.442|13.264|5.756|16.881|22.283|3.338|3.479|25.940|29.392|2.835|3.506|7.975|1.547|6.096|32.472|20.686|19.781|1.976|1.175|5.506|2.745|15.045|41.583|5.995|5.568|35.826|2.510|16.324|66.902|4.600|22.250|31.328|1.657
13.Jul 2018|16.443|13.252|5.713|16.878|22.147|3.325|3.477|25.920|29.292|2.836|3.505|7.999|1.548|6.107|32.510|20.703|19.783|1.964|1.169|5.495|2.734|14.999|41.594|5.999|5.565|35.759|2.498|16.281|66.734|4.596|22.262|31.270|1.670
16.Jul 2018|16.406|13.232|5.741|16.801|22.123|3.309|3.472|25.880|29.318|2.813|3.500|8.034|1.536|6.068|32.206|20.671|19.660|1.959|1.174|5.462|2.730|14.991|41.282|6.016|5.559|35.491|2.505|16.221|66.412|4.551|22.082|30.959|1.675
17.Jul 2018|16.366|13.229|5.714|16.797|22.211|3.305|3.471|25.875|29.157|2.816|3.501|8.002|1.538|6.086|32.284|20.766|19.628|1.960|1.167|5.462|2.727|15.048|41.403|6.017|5.550|35.356|2.512|16.231|66.447|4.570|22.100|31.110|1.665
18.Jul 2018|16.370|13.219|5.773|16.803|22.268|3.314|3.468|25.855|29.010|2.837|3.497|7.981|1.546|6.111|32.448|20.784|19.750|1.963|1.171|5.486|2.721|15.054|41.608|5.998|5.552|35.260|2.507|16.279|66.749|4.610|22.268|31.328|1.667
19.Jul 2018|16.404|13.253|5.779|16.883|22.302|3.301|3.477|25.920|29.027|2.850|3.505|7.957|1.545|6.114|32.394|20.836|19.790|1.962|1.173|5.505|2.707|15.046|41.686|5.989|5.565|35.245|2.503|16.294|66.810|4.631|22.368|31.310|1.662
20.Jul 2018|16.356|13.229|5.834|16.756|22.242|3.269|3.472|25.875|28.926|2.825|3.499|7.946|1.531|6.095|32.217|20.867|19.760|1.956|1.168|5.460|2.698|14.999|41.543|5.985|5.561|34.936|2.490|16.213|66.334|4.633|22.175|30.988|1.647
23.Jul 2018|16.339|13.218|5.833|16.795|22.258|3.254|3.469|25.850|28.991|2.812|3.494|7.929|1.523|6.066|32.043|20.746|19.858|1.945|1.155|5.431|2.706|15.028|41.300|5.983|5.564|34.966|2.497|16.179|66.003|4.650|22.065|30.896|1.634
24.Jul 2018|16.310|13.171|5.832|16.734|22.159|3.240|3.457|25.760|28.888|2.805|3.481|7.885|1.515|6.029|31.917|20.674|19.808|1.950|1.169|5.413|2.694|14.984|41.305|5.965|5.552|35.072|2.494|16.134|65.965|4.516|22.006|30.922|1.650
25.Jul 2018|16.286|13.129|5.899|16.734|22.140|3.251|3.446|25.675|28.894|2.800|3.468|7.877|1.519|6.034|31.954|20.672|19.782|1.957|1.170|5.416|2.689|14.951|41.211|5.971|5.548|34.895|2.495|16.118|66.021|4.539|21.965|30.861|1.662
26.Jul 2018|16.242|13.113|5.895|16.778|22.077|3.230|3.441|25.645|28.860|2.789|3.464|7.905|1.514|6.021|31.880|20.952|19.742|1.955|1.171|5.391|2.687|14.923|40.997|5.987|5.537|34.723|2.496|16.087|65.698|4.542|21.891|30.760|1.659
27.Jul 2018|16.255|13.099|5.895|16.866|22.092|3.227|3.439|25.620|28.845|2.808|3.462|7.928|1.529|6.005|32.087|20.863|19.821|1.971|1.183|5.425|2.687|14.915|41.348|5.969|5.534|34.973|2.487|16.154|65.866|4.524|22.039|30.984|1.664
30.Jul 2018|16.223|13.101|5.914|16.808|22.094|3.215|3.440|25.625|28.768|2.794|3.463|7.958|1.522|5.984|31.953|20.867|19.745|1.963|1.180|5.405|2.689|14.929|41.255|5.991|5.541|35.109|2.500|16.101|65.838|4.489|21.931|30.715|1.663
31.Jul 2018|16.200|13.088|5.845|16.736|22.085|3.195|3.436|25.600|28.692|2.779|3.459|7.990|1.513|5.950|31.825|20.847|19.567|1.950|1.175|5.366|2.685|14.873|41.095|5.985|5.535|34.967|2.496|16.025|65.626|4.468|21.814|30.611|1.666
